client_id,income,credit_score,LAST(loans.loan_amount),LAST(loans.loan_id),LAST(loans.loan_type),LAST(loans.rate),LAST(loans.repaid),MAX(loans.loan_amount),MAX(loans.rate),MAX(loans.repaid),MEAN(loans.loan_amount),MEAN(loans.rate),MEAN(loans.repaid),LAST(payments.missed),LAST(payments.payment_amount),LAST(payments.payment_id),MAX(payments.missed),MAX(payments.payment_amount),MEAN(payments.missed),MEAN(payments.payment_amount),MONTH(joined),YEAR(joined),LAST(loans.MAX(payments.missed)),LAST(loans.MAX(payments.payment_amount)),LAST(loans.MEAN(payments.missed)),LAST(loans.MEAN(payments.payment_amount)),LAST(loans.MONTH(loan_end)),LAST(loans.MONTH(loan_start)),LAST(loans.YEAR(loan_end)),LAST(loans.YEAR(loan_start)),MAX(loans.LAST(payments.missed)),MAX(loans.LAST(payments.payment_amount)),MAX(loans.LAST(payments.payment_id)),MAX(loans.MEAN(payments.missed)),MAX(loans.MEAN(payments.payment_amount)),MEAN(loans.LAST(payments.missed)),MEAN(loans.LAST(payments.payment_amount)),MEAN(loans.LAST(payments.payment_id)),MEAN(loans.MAX(payments.missed)),MEAN(loans.MAX(payments.payment_amount)),MEAN(loans.MEAN(payments.missed)),MEAN(loans.MEAN(payments.payment_amount)),LAST(payments.loans.loan_amount),LAST(payments.loans.loan_type),LAST(payments.loans.rate),LAST(payments.loans.repaid),MAX(payments.loans.loan_amount),MAX(payments.loans.rate),MAX(payments.loans.repaid),MEAN(payments.loans.loan_amount),MEAN(payments.loans.rate),MEAN(payments.loans.repaid),MONTH(LAST(loans.loan_end)),MONTH(LAST(loans.loan_start)),MONTH(LAST(payments.payment_date)),YEAR(LAST(loans.loan_end)),YEAR(LAST(loans.loan_start)),YEAR(LAST(payments.payment_date))
49068,128813,603,11871,11154,cash,4.08,1,13910.0,6.78,1.0,7617.888888888889,3.0955555555555554,0.7222222222222222,0,1431,2247,1.0,2738.0,0.4899328859060403,1204.3087248322147,2,2004,1.0,2047.0,0.46153846153846156,1532.1538461538462,11,10,2013,2011,1.0,2525.0,2365.0,0.6666666666666666,2263.0,0.3888888888888889,1139.7222222222222,2297.6666666666665,1.0,1543.9444444444443,0.49381459136361094,1180.5770266226148,10082,other,0.63,1,13910.0,6.78,1.0,7619.060402684564,2.915771812080537,0.7315436241610739,11,10,6,2013,2011,2015
26326,227920,633,6119,11513,other,2.35,0,13464.0,6.73,1.0,7270.0625,2.5175,0.5,1,932,1418,1.0,2658.0,0.5263157894736842,1166.7368421052631,5,2004,1.0,1208.0,0.7777777777777778,970.7777777777778,6,11,2007,2005,1.0,2483.0,1536.0,0.875,2143.8888888888887,0.5,1155.375,1459.4375,1.0,1547.5,0.5238331980519481,1161.6916080447331,5275,credit,1.45,0,13464.0,6.73,1.0,7146.1578947368425,2.378045112781955,0.47368421052631576,6,11,8,2007,2005,2015
26695,174532,680,4776,10305,credit,0.97,1,14865.0,6.51,1.0,7824.722222222223,2.466111111111111,0.3888888888888889,0,2084,2667,1.0,2932.0,0.4852941176470588,1207.4338235294117,8,2004,1.0,937.0,0.6666666666666666,769.8333333333334,9,9,2005,2003,1.0,2271.0,3005.0,0.8571428571428571,2511.8,0.3333333333333333,1276.2222222222222,2714.222222222222,1.0,1518.8333333333333,0.5031006847183318,1221.2006146903207,13918,other,0.9,1,14865.0,6.51,1.0,7635.764705882353,2.607794117647059,0.39705882352941174,9,9,3,2005,2003,2015
44601,156341,518,6232,11183,other,6.83,1,14104.0,9.22,1.0,6869.25,4.151,0.75,1,645,1997,1.0,2659.0,0.46153846153846156,1087.7628205128206,10,2004,1.0,1158.0,0.6666666666666666,784.25,4,10,2006,2003,1.0,2488.0,2773.0,0.8,1968.0,0.5,1095.35,2084.95,1.0,1319.0,0.4531547619047619,1023.4024404761906,5478,credit,3.61,1,14104.0,9.22,1.0,7413.7692307692305,4.196602564102564,0.7307692307692307,4,10,9,2006,2003,2014
32726,235705,730,14802,10436,cash,2.64,1,14802.0,9.1,1.0,6633.263157894737,3.0589473684210526,0.5789473684210527,0,1013,876,1.0,2695.0,0.5033112582781457,944.2980132450331,5,2006,1.0,2411.0,0.5,1862.1666666666667,6,11,2014,2011,1.0,2695.0,952.0,0.7142857142857143,2325.285714285714,0.7368421052631579,1066.4736842105262,890.6315789473684,1.0,1315.7368421052631,0.4922723475355054,1014.1636800334169,5325,other,2.83,1,14802.0,9.1,1.0,6010.9668874172185,3.0593377483443707,0.5960264900662252,6,11,12,2014,2011,2014
25707,211422,621,6371,11942,credit,6.02,0,13913.0,9.44,1.0,7963.95,3.4770000000000003,0.4,1,241,566,1.0,2704.0,0.5279503105590062,1178.552795031056,10,2006,1.0,1250.0,0.75,1025.375,2,1,2013,2011,1.0,2402.0,681.0,0.8,2155.1428571428573,0.45,1195.55,610.55,1.0,1578.75,0.5193779831279831,1175.7609960872462,2203,home,7.4,0,13913.0,9.44,1.0,8004.1366459627325,3.2987577639751553,0.4658385093167702,2,1,11,2013,2011,2014
49545,104564,770,8354,10816,home,0.45,1,14971.0,6.52,1.0,10289.3,2.684,0.7,0,1910,1131,1.0,2873.0,0.581151832460733,1481.1884816753927,11,2007,1.0,1586.0,0.5,1399.0,8,3,2001,2000,1.0,2849.0,2950.0,0.8571428571428571,2537.0,0.7,1439.1,543.75,1.0,1992.05,0.5947375179168658,1496.020607746722,10422,cash,0.05,1,14971.0,6.52,1.0,10487.712041884817,3.106020942408377,0.5863874345549738,8,3,4,2001,2000,2015
48177,190632,769,6318,10224,other,10.89,0,14740.0,10.89,1.0,7424.368421052632,3.938947368421053,0.42105263157894735,0,115,1308,1.0,2724.0,0.5126582278481012,1199.7151898734178,6,2008,1.0,1237.0,0.5714285714285714,1019.8571428571429,5,2,2005,2003,1.0,2482.0,3068.0,1.0,2160.375,0.3684210526315789,1077.2105263157894,1471.6315789473683,1.0,1546.3684210526317,0.539327485380117,1127.764411027569,659,credit,1.52,1,14740.0,10.89,1.0,7731.120253164557,3.8884177215189872,0.43037974683544306,5,2,7,2005,2003,2015
32961,230341,714,10602,11427,credit,4.44,1,14784.0,9.14,1.0,7882.235294117647,3.930588235294118,0.5294117647058824,1,223,1795,1.0,2791.0,0.5190839694656488,1039.0534351145038,4,2009,1.0,2051.0,0.4,1755.0,12,6,2009,2008,1.0,2791.0,3394.0,0.875,2169.0,0.5294117647058824,1312.6470588235295,1885.0,1.0,1579.6470588235295,0.512816921640451,1155.5841108238167,1693,cash,1.46,1,14784.0,9.14,1.0,7223.740458015267,3.9048854961832062,0.4198473282442748,12,6,10,2009,2008,2014
44387,151903,781,765,10080,cash,4.59,0,14900.0,5.97,1.0,7387.733333333334,2.8066666666666666,0.6,1,305,2419,1.0,2915.0,0.45871559633027525,1055.7522935779816,7,2009,1.0,146.0,0.3333333333333333,116.5,3,7,2003,2000,1.0,2445.0,3148.0,0.7142857142857143,2200.875,0.3333333333333333,950.8,2516.266666666667,1.0,1358.0666666666666,0.44774114774114776,1060.0883028083028,2559,cash,3.27,0,14900.0,5.97,1.0,7439.128440366972,2.6082568807339452,0.5045871559633027,3,7,11,2003,2000,2014
35089,131176,771,5732,11492,credit,1.75,0,13194.0,7.63,1.0,6939.2,3.5134999999999996,0.6,0,106,957,1.0,2563.0,0.4968553459119497,1094.748427672956,3,2010,1.0,1072.0,0.8,940.6,8,3,2007,2006,1.0,1703.0,1096.0,0.8,2089.6363636363635,0.45,923.45,1027.65,1.0,1320.65,0.4997366522366522,1051.9379888167389,773,other,7.63,1,13194.0,7.63,1.0,7230.987421383647,3.3338993710691827,0.6352201257861635,8,3,4,2007,2006,2015
46958,225709,644,14942,10399,other,1.94,0,14942.0,6.17,1.0,9378.384615384615,3.1538461538461537,0.23076923076923078,0,1451,2964,1.0,2986.0,0.44565217391304346,1346.4130434782608,7,2011,1.0,2986.0,0.2,2033.4,11,1,2006,2005,1.0,2265.0,3032.0,0.8,2033.4,0.46153846153846156,1373.076923076923,2970.153846153846,1.0,1766.4615384615386,0.4468559218559219,1362.41221001221,8308,credit,0.32,0,14942.0,6.17,1.0,9337.978260869566,3.1001086956521737,0.20652173913043478,11,1,5,2006,2005,2015
39505,153873,610,7162,11052,credit,8.6,1,14575.0,9.91,1.0,7424.05,3.1905,0.45,1,1072,698,1.0,2764.0,0.4768211920529801,1162.0264900662253,10,2011,1.0,1214.0,0.6666666666666666,954.8333333333334,6,7,2006,2004,1.0,2703.0,1614.0,0.875,2355.5714285714284,0.5,1160.0,797.05,1.0,1440.5,0.4855377302436126,1109.3341821577117,9600,cash,0.25,0,14575.0,9.91,1.0,7650.635761589404,3.0905298013245033,0.4105960264900662,6,7,4,2006,2004,2015
49624,49036,800,11750,10072,home,0.63,0,14679.0,12.62,1.0,9174.533333333333,4.037333333333334,0.6,1,1369,3198,1.0,2866.0,0.46534653465346537,1419.09900990099,8,2012,1.0,2094.0,0.42857142857142855,1587.7142857142858,11,10,2005,2003,1.0,2538.0,3314.0,0.8,2335.8888888888887,0.2,1296.5333333333333,3248.866666666667,0.9333333333333333,1695.5333333333333,0.46201058201058204,1372.2650529100529,8621,cash,3.18,0,14679.0,12.62,1.0,9446.69306930693,4.334851485148515,0.6237623762376238,11,10,5,2005,2003,2015
41480,122607,585,811,11430,credit,0.43,0,14399.0,10.49,1.0,7894.85,3.1105,0.5,0,2115,377,1.0,2719.0,0.4503311258278146,1246.5099337748345,3,2013,1.0,1308.0,0.5,721.0,1,8,2012,2009,1.0,2543.0,398.0,0.8333333333333334,2143.1428571428573,0.45,1249.9,341.45,1.0,1638.7,0.4495451770451771,1271.415708943834,11154,home,6.48,1,14399.0,10.49,1.0,7455.64238410596,2.898278145695364,0.47019867549668876,1,8,3,2012,2009,2015
